,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,40,AR,1616307635,76,-54.8,-68.3,48.2,31.07
1,Albany,1,US,1616307434,72,42.6001,-73.9662,35.01,3.6
2,Uray,99,RU,1616307636,90,60.1247,64.7758,8.2,9.57
3,Puerto Ayora,41,EC,1616307637,93,-0.7393,-90.3518,77.0,3.0
4,Zinder,0,NE,1616307637,16,13.8072,8.9881,80.6,11.5
5,Bredasdorp,92,ZA,1616307638,94,-34.5322,20.0403,60.8,3.44
6,Manzhouli,94,CN,1616307638,39,49.6,117.4333,33.64,17.83
7,Vaini,75,TO,1616307639,89,-21.2,-175.2,78.8,3.44
8,Port Elizabeth,75,ZA,1616307639,88,-33.918,25.5701,64.4,10.36
9,Atuona,21,PF,1616307468,79,-9.8,-139.0333,80.44,13.58
10,Mehamn,100,NO,1616307640,73,71.0357,27.8492,30.65,19.46
11,Butaritari,49,KI,1616307640,80,3.0707,172.7902,81.88,16.67
12,Hobart,40,AU,1616307582,60,-42.8794,147.3294,73.99,12.66
13,Tasiilaq,90,GL,1616307641,100,65.6145,-37.6368,24.8,40.29
14,Mont-Joli,1,CA,1616307641,52,48.5839,-68.1921,39.2,13.8
15,Dārāb,0,IR,1616307642,12,28.7519,54.5444,68.31,4.5
16,Bocaiúva,4,BR,1616307642,96,-17.1078,-43.815,64.38,6.02
17,Saint-Augustin,4,CA,1616307643,84,51.226,-58.6502,9.95,6.53
18,Kapaa,90,US,1616307404,83,22.0752,-159.319,71.6,21.85
19,Ambanja,75,MG,1616307542,68,-13.6833,48.45,78.8,1.36
20,Cockburn Town,9,TC,1616307644,79,21.4612,-71.1419,76.3,18.1
21,Monster,90,NL,1616307644,81,52.0258,4.175,45.0,8.05
22,Yellowknife,1,CA,1616307645,71,62.456,-114.3525,-4.0,8.05
23,Nome,1,US,1616307645,61,64.5011,-165.4064,10.99,8.05
24,Zelenogorskiy,0,RU,1616307646,69,55.0333,87.0,35.6,15.66
25,Rikitea,44,PF,1616307646,76,-23.1203,-134.9692,79.66,9.26
26,Black River,20,JM,1616307647,78,18.0264,-77.8487,77.0,3.44
27,Krasnoural'sk,6,RU,1616307647,82,58.3638,60.0407,23.59,10.6
28,Cape Town,0,ZA,1616307604,68,-33.9258,18.4232,64.99,17.27
29,Hithadhoo,47,MV,1616307649,74,-0.6,73.0833,83.32,10.51
30,Barrow,1,US,1616307649,70,71.2906,-156.7887,-13.0,9.22
31,Faanui,3,PF,1616307649,71,-16.4833,-151.75,83.46,8.3
32,Barra Patuca,0,HN,1616307650,83,15.8,-84.2833,75.36,6.22
33,George Town,20,MY,1616307650,62,5.4112,100.3354,91.4,11.5
34,Jamestown,1,US,1616307651,41,42.097,-79.2353,35.6,5.14
35,Hermanus,72,ZA,1616307651,85,-34.4187,19.2345,62.01,3.0
36,Kalmunai,75,LK,1616307652,72,7.4167,81.8167,84.88,8.57
37,Kavieng,99,PG,1616307652,69,-2.5744,150.7967,85.26,5.3
38,Husavik,0,IS,1616307653,61,66.0449,-17.3389,42.8,26.46
39,Marzuq,32,YE,1616307653,8,14.4,46.4667,80.65,12.1
40,Avarua,75,CK,1616307653,89,-21.2078,-159.775,78.8,4.61
41,Nāthdwāra,14,IN,1616307654,23,24.9333,73.8167,87.8,5.75
42,Dikson,19,RU,1616307655,76,73.5069,80.5464,-15.48,15.61
